season,episode_number,title,airdate,rating,total_votes,desc
6,6,The Almost People,2011-05-28,7.4,5064,The gangers and humans battle for their lives as the factory crumbles and the Doctor tries to keep the peace - can everyone make it off the island alive?
6,7,A Good Man Goes to War,2011-06-04,9.1,7277,A member of The Doctor's team has been abducted and he will call in every favor and maybe even go to war to get them back.
6,8,Let's Kill Hitler,2011-08-27,8.0,5824,"The search for Melody Pond brings the Doctor and his friends to Berlin in 1938, face-to-face with Adolf Hitler, River Song and a justice-serving, shapeshifting robot."
6,9,Night Terrors,2011-09-03,7.1,4999,"Receiving a powerful distress call from a terrified little boy, the Doctor and his friends soon find that the monsters in his cupboard are real - and deadly."
6,10,The Girl Who Waited,2011-09-10,8.4,5845,"Amy is trapped in a quarantine facility where time moves faster than in reality, while the Doctor is confined to the TARDIS. Can Rory save his wife in time?"
6,11,The God Complex,2011-09-17,8.0,5428,"The Doctor, Amy and Rory become trapped in a hotel of horrors unable to escape and unable to find the TARDIS. The Doctor must save as many people as he can taking many twists and seeing his own worst fear."
6,12,Closing Time,2011-09-24,7.6,5081,"The Doctor makes one last stop before his death to see an old friend. But people are disappearing, there are reports of a silver rat and metal men are lurking in the shadows."
6,13,The Wedding of River Song,2011-10-01,8.5,6199,"April 22nd, 2011; 5:02pm. Having finally accepted his fate the Doctor travels to Lake Silencio for his final day. But one woman refuses to let time take its course."
7,0,"The Doctor, the Widow and the Wardrobe",2011-12-25,7.2,5388,"It's Christmas Eve, 1938, when Madge Arwell comes to the aid of an injured Spaceman Angel as she cycles home. He promises to repay her kindness - all she has to do is make a wish. Three years later, a devastated Madge escapes war-torn London with her two children for a dilapidated house in Dorset. She is crippled with grief at the news her husband has been lost over the channel, but determined to give Lily and Cyril the best Christmas ever. The Arwells are surprised to be greeted by a madcap caretaker whose mysterious Christmas gift leads them into a magical wintry ..."
7,1,Asylum of the Daleks,2012-09-01,8.6,7069,"Amy, Rory and the Doctor are reunited when they are kidnapped by the Daleks, who send them on a mission to destroy the most horrifying place in the universe- the asylum of the Daleks."
7,2,Dinosaurs on a Spaceship,2012-09-08,7.4,5855,"The doctor gathers some of his old friends to help him investigate an unmanned spaceship on a crash course to earth that when it collides, will destroy it, they soon discover the ship's precious and dangerous cargo- dinosaurs."
7,3,A Town Called Mercy,2012-09-15,7.3,5606,"The Doctor gets a Stetson (and a gun), and finds himself the reluctant Sheriff of a Western town under siege by a relentless cyborg who goes by the name of The Gunslinger. But who is he and what does he want?"
7,4,The Power of Three,2012-09-22,7.5,5445,"Earth is suddenly visited by millions of small black cubes of unknown origin. The Doctor joins Amy, Rory and Rory's father, Brian, to help discover what these cubes bring for humanity."
7,5,The Angels Take Manhattan,2012-09-29,9.0,7761,"After Rory has an encounter with a weeping angel, the doctor and Amy travel to 1930's New York to save him, but they soon discover that the weeping angels have taken over Manhattan, and soon, maybe, the world."
7,6,The Snowmen,2012-12-25,8.4,6426,"London, 1892. Snow is evolving, turning into icy monstrosities, but this is no concern for the Doctor who has given up trying to save the universe, leaving it to a clever young governess named Clara to save the day."
7,7,The Bells of Saint John,2013-03-30,7.9,5555,"The doctor finds Clara in present day, where they work together to solve the mystery of people disappearing which as it turns out, has a sinister link to WiFi."
7,8,The Rings of Akhaten,2013-04-06,7.3,5995,"The doctor takes Clara to the rings of Akheten, A partly destroyed planet, where a religious ceremony is about to be carried out, but a darkness is stirring, a hungry darkness that could consume the rings of Akhetan and the universe."
7,9,Cold War,2013-04-13,7.1,5133,"The doctor and Clara find themselves on a Russian cold war submarine that is falling to the bottom of the ocean because of an attack by a rogue Martian warrior, that 's still aboard."
